2437 A, A
1669 FEVRE, OL
7793 FEY, AL
10973 F, H
14605 FIANDRINI, E
8755 FICENEC, D
12260 FICH, M
3219 FICHTEL, CE
5908 FICK, BE
15353 FIEDLER, H
2825 FIEDLER, RL
12238 FIEGE, JD
15950 FIELD, BD
4676 FIELD, GB
2701 FIELDS, B
2075 FIELDS, BD
7695 FIERRO, JM
5820 FIGER, DF
2727 FIGUEIREDO, N
9950 FIGUERAS, F
13453 FIGUEROAFELICIANO, E
12481 FILCHENKOV, ML
7280 FILEVICH, A
3965 FILIPE, JAN
12003 FILIPOVIC, MD
2205 FILIPPENKO, A
2338 FILIPPENKO, AV
8165 FILIPPI, M
6258 FILIPPINA, C
14569 FILIPPIS, ED
2525 FILIPPOV, AE
11213 FILLIPPENKO, A
9311 FINDLEY, J
1358 FINELLI, F
7612 FINESCHI, S
5130 FINGER, M
3452 FINGER, MH
12066 FINKBEINER, D
8140 FINKBEINER, DP
266 FINK, H
1529 FINK, HH
16645 FINLATOR, K
16340 FINLEY, D
3437 FINLEY, DS
6756 FINLEY, J
6775 FINLEY, JP
550 FINN, LS
4209 FINOGUENOV, A
6990 FIOC, M
881 FIOLHAIS, M
9452 FIORANI, A
4718 FIORE, F
1286 FIORENTINI, G
16039 FIORENTINI, SDG
6326 FIORENTINO, V
2484 FIORE, R
6908 FIORUCCI, M
6016 F, IRDO
7900 FIRENZE, UD
4806 FIRMANI, C
16474 FIRSOVA, NE
13416 FIRTH, E
15632 FISCHERA, J
9077 FISCHER, D
10814 FISCHER, DA
11486 FISCHER, J
11718 FISCHER, JU
5808 FISCHER, ML
844 FISCHER, P
2875 FISHER, A
4061 FISHER, D
16593 FISHER, GH
533 FISHER, K
824 FISHER, KB
13360 FISHER, RS
10526 FISHER, RT
10427 FISHER, S
913 FISHMAN, G
1351 FISHMAN, GJ
5024 FISHMAN, J
12656 FISKER, JL
6010 FITZPATRICK, EL
7875 FITZSIMMONS, A
5501 FIUME, DD
12952 FIUME, FFDD
11340 FIUME, PSDD
14575 FIX, JD
10357 FIXSEN, D
1012 FIXSEN, DJ
9684 FIZIEV, P
15264 FIZIEV, PP
7771 FLAMBAUM, VV
16587 FLANAGAN, C
4465 FLANAGAN, CS
5616 FLANAGAN, EE
7853 FLANAGAN, JW
9963 FLEISCHER, AJ
5530 FLEMING, T
5106 FLEMING, TA
15678 FLEMING, TP
13983 FLESCH, E
7441 FLETCHER, A
5762 FLETCHER, AB
3819 FLETCHER, JM
12854 FLETCHER, S
6526 FLEURY, P
13750 FLEYSHER, L
13751 FLEYSHER, R
13462 FLINT, KP
16420 FLOCH, EL
13854 FLORATOS, EG
2776 FLORENTINNIELSEN, R
5238 FLORES, H
5533 FLORES, R
2722 FLORES, RA
3205 FLORIDO, E
14175 FLORINSKI, V
12109 FLUKE, CJ
1254 FLYNN, C
13877 F, M
2047 FOCARDI, P
8137 FOCKENBROCK, R
4821 FOCKE, W
15880 FODOR, Z
6947 FOGLI, GL
421 FOGLIZZO, T
3365 FOING, BH
10706 F, OL
12694 FOLEY, AR
10205 FOLHA, DFM
3870 FOLINI, D
4450 FOLKES, SR
15422 FOLKNER, WM
15259 FOLLANA, E
4300 FOLTZ, C
4120 FOLTZ, CB
2661 FOLZ, WC
5354 FOMALONT, EAREB
9668 FOMALONT, EB
1256 FONG, R
10842 FONSECA, V
4031 FONTAINE, G
225 FONTANA, A
9687 FONT, JA
1380 FOOT, R
7349 FORBES, D
2512 FORBES, DA
6307 FORBES, MC
16687 FORBES, MM
8669 FORCADAMIRO, MI
3257 FORD, E
10667 FORD, EB
6728 FORD, EC
7995 FORD, H
6551 FORD, HC
4239 FORD, L
126 FORD, LA
14140 FORD, LH
13377 FORD, M
15665 FORD, NKEC
4524 FORESTINI, M
16580 FORESTO, VCD
13777 FORETS, GPD
1793 FORMAN, W
8481 FORMAN, WR
5447 FORMIGGINI, L
2067 FORNENGO, N
13320 FORNI, NAO
13200 FORREY, RC
14514 FORSTER, A
3516 FORSTER, K
16445 FORSTERSCHREIBER, NM
4787 FORSYTH, R
1761 FORT, B
4011 FORT, BFYMMD
4749 FORT, FBB
3063 FORTINI, P
4144 FORT, MD
5909 FORTSON, LF
4145 FORT, YMMD
5960 FORVEILLE, T
6397 FOSALBA, P
10776 FOSBURY, MVRAE
4514 FOSBURY, R
3029 FOSBURY, RAE
9889 FOSCHINI, L
5216 FOSSATI, G
11086 FOSTER, G
12673 FOSTER, MJ
2223 FOSTER, RS
15097 FOUCHET, T
7261 FOUQUE, P
11166 FOURNON, IP
5910 FOWLER, J
7009 FOWLER, JW
3865 FOX, D
5970 FOX, DW
7964 FOY, R
612 F, Q
1881 F, R
12076 FRAGILE, PC
13998 FRAIL, D
2164 FRAIL, DA
7248 FRAIL, DTFDA
8067 FRAIL, ERSDA
4975 FRAIXBURNET, D
9201 FRALEY, C
7653 FRAMPTON, PH
1321 FRANCA, FL
105 FRANCESCHINI, A
6901 FRANCESCO, GD
12217 FRANCESCO, JD
16270 FRANCIOSINI, E
9915 FRANCIS, N
2543 FRANCIS, P
4337 FRANCIS, PJ
6483 FRANCOIS, P
4177 FRANCO, J
10048 FRANCO, LM
8178 FRANDSEN, S
1236 FRANK, A
5593 FRANK, J
16171 FRANKOWSKI, A
2680 FRANSSON, C
8683 FRANSSON, CKC
1782 FRANX, M
10470 FRANZ, BA
15199 FRANZETTI, P
14887 FRANZ, O
10493 FRANZ, OG
16301 FRASCA, S
7464 FRASCATI, E
7460 FRASCATI, RCBI
7243 FRASS, A
16610 FRATTARE, LM
12371 FRAYER, D
8066 FRAYER, DT
12850 FREDERICKS, DD
11869 FREDERICS, D
11880 FREDERIKS, D
12586 FREDERIKS, DD
10497 FREDRICK, LW
8506 FREDRIKSSON, S
10184 FREDVIK, T
15367 FREEDMAN, DL
6472 FREEDMAN, R
4009 FREEDMAN, RS
10058 FREEDMAN, S
3071 FREEDMAN, SJ
8555 FREEDMAN, W
4265 FREEDMAN, WL
6111 FREEMAN, K
210 FREEMAN, KC
12890 FREEMAN, MKKMASEZKC
16103 FREEMAN, MP
3034 FREEMAN, PE
1778 FREESE, K
13228 FREGEAU, JM
5600 FREIBURGHAUS, C
15075 FREIRE, P
15180 FREIRE, PC
9742 FREITAS, PMD
276 FREI, Z
16038 FRENCH, H
8751 FRENCH, RS
5151 FRENK, C
930 FRENK, CS
12199 FRE, P
10252 FRERE, JM
7267 FREUDENREICH, HT
666 FREUDLING, W
6411 FREUND, A
13684 FREUND, MM
3036 FREYBERG, MJ
11933 FREY, S
10517 FREYTAG, B
12049 FRIACA, A
5249 FRIACA, ACS
12163 FRIBERG, P
7763 FRICHTER, G
1765 FRICHTER, GM
680 FRICKE, K
667 FRICKE, KJ
11706 FRICK, P
10039 FRIDMAN, AM
2424 FRIDMAN, T
2250 FRIEBEN, J
13981 FRIED, J
5208 FRIED, JW
13240 FRIEDLAND, A
2201 FRIEDLI, D
14707 FRIEDLI, FCD
15425 FRIEDMAN, A
4537 FRIEDMAN, JL
5453 FRIEDMANN, BC
13445 FRIEDMAN, P
13937 FRIED, R
16443 FRIED, RE
6746 FRIEDRICH, P
5350 FRIEDRICH, S
6481 FRIEL, ED
1212 FRIEMAN, J
339 FRIEMAN, JA
3700 FRINK, S
663 FRISCH, P
6502 FRISCH, PC
15566 FRISCH, U
10408 FRITSCH, C
15079 FRITZ, G
2256 FRITZSCH, H
123 FR, JSB
4623 FROGEL, ACQJA
731 FROGEL, JA
8985 FROMHOLDTREU, R
12732 FRONING, C
12891 FRONING, CS
5502 FRONTERA, F
2890 FROST, C
4365 FRUCHTER, A
497 FRUCHTER, AS
10790 FRUCHTER, DWHAS
3433 FRUSCIONE, A
11849 FRY, AM
7469 FRYE, B
8650 FRYE, BL
8148 FRYER, C
2237 FRYER, CL
6145 FRY, JN
1497 FRYXELL, B
629 F, T
7305 FUBINI, A
3701 FUCHS, B
14785 FUCHS, Y
10248 FUCITO, F
12888 FU, CQ
14009 FUENMAYOR, F
5319 FUENTE, A
12316 FUENTESGURIDI, I
15117 FUER, SMVM
10614 FUERST, E
4332 FUGATE, RQ
13826 FUGAZZA, D
14958 FUGLEBERG, T
10733 FUHRMANN, U
15186 FUJII, H
8605 FUJII, T
2064 FUJII, Y
15187 FUJII, Z
13794 FUJIKAWA, M
1392 FUJIMAKI, M
6217 FUJIMOTO, R
2077 FUJISAKI, H
13955 FUJISAWA, K
7073 FUJITA, T
3141 FUJITA, Y
15399 FUJIWARA, H
3158 FUJIWARA, T
2186 FUJIWARA, Y
10652 FUJIYOSHI, T
7072 FUKASAKU, K
4747 FUKAZAWA, Y
8298 FUKUDA, H
8002 FUKUE, J
1606 FUKUGITA, M
7223 FUKUI, Y
3885 FUKUMOTO, J
4777 FUKUSHIGE, T
1760 FUKUYAMA, T
13071 FULBRIGHT, JP
3016 FULLANA, MJ
7876 FULLE, M
10168 FULLER, G
1987 FULLER, GA
492 FULLER, GM
12403 FULLER, TM
11240 FULLTON, LK
10520 FULTON, E
3574 FUNATO, Y
14669 FUNCHAL, RZ
9354 FUNES, JG
3878 FUNK, B
6434 FURDUEV, AV
13632 FUR, ECM
12751 FURESZ, G
12939 FURLAN, E
16233 FUR, M
10695 FURMAN, I
9947 FURTON, DG
15508 FURUSAWA, H
12945 FURUSHO, T
13833 FURUYA, RS
1537 FURUZAWA, A
9187 FUSCOFEMIANO, R
16257 FUSCOFEMIANO, SDGR
12264 FUTAGAMI, TSCT
4160 FUTAMASE, T
2200 FUX, R
7727 FYNBO, JU
2406 GAALAAS, JB
15765 GABEL, JR
3240 GABI, S
7669 GABRIEL, AH
3907 GABRIELLI, A
6863 GABRIEL, M
3319 GABUTTI, A
12384 GABUZDA, DC
12494 GAELENS, M
8111 GAENSICKE, B
9322 GAENSICKE, BT
16244 GAENSLER, B
5413 GAENSLER, BM
11058 GAERTNER, S
15797 GAETZ, TJ
5107 GAGNE, M
14668 GAGO, AM
2777 GAHM, G
6757 GAIDOS, J
3168 GAIDOS, JA
11939 GAIDOS, JPFJA
3081 GAIER, T
15589 GAILITIS, A
1104 GAILLARD, MK
570 GAI, M
4624 GAISSER, TK
11994 GAITE, J
8777 GAITSKELL, R
16628 GAI, W
14697 GAJDOSIK, M
10616 GAJOS, M
6334 GAL, A
16138 GALADIENRIQUEZ, D
8392 GALAMA, T
6868 GALAMA, TJ
14282 GALARZA, VC
8316 GALAZ, G
10090 GALAZUTDINOV, G
16123 GALEEV, A
3833 GALES, JM
5434 GALINSKY, VL
10107 GALLAGHER, J
3179 GALLAGHER, JS
12440 GALLAGHER, SC
9260 GALLAIS, P
2133 GALLANT, YA
965 GALLART, C
4505 GALLEGO, J
4882 GALLETTA, G
644 GALLETTI, S
4732 GALLI, D
9784 GALLIMORE, J
2845 GALLIMORE, JF
13032 GALLI, MR
11257 GALLINO, R
13270 GALLOWAY, D
14578 GALLOWAY, DK
15777 GAL, R
5290 GAL, RR
16490 GALTIER, S
9213 GALVIN, AB
5333 GALYAM, A
1505 GAMBERA, M
5084 GAMMELGAARD, P
6741 GAMMIE, C
2959 GAMMIE, CF
2480 GANDHI, R
7681 GANDOLFI, G
13025 GANESH, S
7138 GANGADHARA, RT
2843 GANGA, K
5764 GANGA, KM
829 GANGUI, A
9510 GANGULY, R
9138 GANIS, G
2144 GANON, G
14392 GANSICKE, BT
1556 GAO, JG
14947 GAO, W
5104 GAO, Y
4104 GARASI, C
6989 GARAY, G
13789 GARCIA, A
13284 GARCIA, AMP
10043 GARCIABARRETO, JA
344 GARCIABELLIDO, J
5870 GARCIABERRO, E
9445 GARCIABURILLO, S
15308 GARCIA, CE
4381 GARCIACOMPEAN, H
12308 GARCIADABO, CE
11139 GARCIA, E
3346 GARCIAGOMEZ, C
12214 GARCIA, L
9728 GARCIALARIO, P
14107 GARCIALORENZO, B
2096 GARCIA, MR
9498 GARCIA, PVR
7666 GARCIA, RA
8395 GARCIARUIZ, I
4632 GARCIASEGURA, G
972 GARCIAVARGAS, ML
788 GARDINER, L
11866 GARDINER, LT
13166 GARDINER, TA
5720 GARDINI, A
16621 GARDIOL, D
12608 GARDNER, J
4027 GARDNER, JP
11832 GARDNER, M
9346 GARGIULO, G
14137 GARIEL, J
3348 GARIJO, A
3086 GARILLI, B
16014 GARMIRE, GP
7218 GARNAVICH, P
6470 GARNAVICH, PM
1296 GARNETT, D
2117 GARNETT, DR
10371 GARNIER, R
16150 GAROCHE, P
13459 GARRADD, G
7789 GARRETT, MA
11827 GARRIDO, R
3292 GARRIGA, J
4064 GARRINGTON, S
2104 GARRINGTON, ST
13551 GARUFI, F
7835 GARY, RPS
973 GARZON, F
16151 GASCON, J
3927 GASKELL, CM
13480 GASPAR, Y
318 GASPERINI, M
942 GASPERIS, GD
14900 GASTAUD, GBR
1174 GATES, E
1945 GATES, EI
6203 GATLEY, I
11332 GATTI, AA
5728 GATTONE, AO
4066 GAUCHEREL, C
2905 GAUDI, BS
6833 GAUDLITZ, M
13124 GAUGER, A
11114 GAUL, M
6649 GAUME, RA
11663 GAUNTLETT, JP
6291 GAUSMANN, E
12561 GAUSTAD, JE
11144 GAUTHIER, E
6141 GAUTIER, D
12770 GAUTIER, TN
12142 GAUTRET, L
4097 GAUTSCHY, A
9070 GAVAZZI, G
3316 GAVELA, MB
14352 GAVRIN, VN
3475 GAWISER, E
6621 GAYLEY, KG
15067 GAY, P
14980 GAZOL, A
278 GAZTANAGA, E
8699 GAZTANAGA, ISE
1199 G, B
1418 G, BE
2422 G, C
15012 G, D
7700 GEAR, W
8679 GEAR, WK
12215 GEAR, WKP
8320 GEBALLE, T
3659 GEBALLE, TR
10843 GEBAUER, HJ
9901 GEBBIE, T
14010 GEBHARD, M
15163 GEBHARDT, CKK
1473 GEBHARDT, K
6883 GECKELER, RD
1411 GEDDES, J
11180 GEER, SH
7473 GEFFERT, M
15741 GEHA, M
8375 GEHA, MC
1913 GEHMAN, CS
7937 GEHMEYR, M
2922 GEHRELS, N
12007 GEHRELS, WCN
8379 GEHREN, T
3030 GEIGER, B
16446 GEIS, JWBN
5039 GEISLER, D
9822 GEIS, N
14515 GEISSEL, H
9214 GEISS, J
1041 GE, J
4349 GELATO, S
5632 GELB, JM
9980 GELBMANN, MJ
10115 GELDERMAN, RF
11428 GELINO, C
12053 GELINO, CR
24 GELLER, DGFMJ
3744 GELLER, M
1057 GELLER, MJ
11295 GELLER, RM
12650 GELMINI, G
13010 GELMINI, GB
12496 GELTENBORT, P
1322 GEMMO, A
15848 GENDEREN, AMV
2593 GENDREAU, KC
10647 GENDRON, E
6041 GENNARI, S
16195 GENNARO, G
15983 GENOVA, F
13422 GENREITH, H
3208 GENTET, LJ
10587 GENTRY, DW
10498 GENTRY, RV
13476 GEN, U
6845 GENZEL, R
12303 GEOFFROY, JM
3679 GEORGAKAKIS, A
5766 GEORGANOPOULOS, M
2090 GEORGANTOPOULOS, I
16141 GEORGANTOPOULOS, MPI
2718 GEORGE, I
4142 GEORGE, IM
6447 GEORGE, J
6527 GEORGE, R
34 GEORGES, P
12666 GEORGIEV, L
14084 GEORGIEV, LN
12663 GEORGII, R
15524 GEORGOBIANI, D
9206 GEPPERT, U
1091 GERAKINES, PA
8595 GERARD, E
11396 GERARDY, CL
2053 GERBAL, D
9971 GERBALDI, M
15594 GERBETH, G
7997 GERBIER, G
14331 GERGELY, LA
2004 GERHARD, O
654 GERHARD, OE
32 GERIN, M
13973 GERMAIN, ME
14342 GERMAN, G
7887 GERMANY, LM
6211 GERRITSEN, JPE
1954 GERSSEN, J
10155 GERTH, E
7306 GERVINO, G
13911 GETTS, TJ
10253 GEVAERT, A
10664 G, F
10972 G, G
14840 G, GV
11759 GHAFFARSEDEH, E
15968 GHARAGYOZYAN, GV
15969 GHAZARYAN, SS
271 GHELLER, C
1117 GHERGHETTA, T
3100 GHESQUIERE, C
2365 GHEZ, AM
15729 GHIA, PL
3718 GHIGNA, S
2827 GHIGO, FD
8245 GHIGO, M
16146 GHINASSI, F
16045 GHIRLANDA, G
93 GHISELLINI, G
11410 GHISELLINI, GBG
13664 GHISELLINI, SCG
1242 GHIZZARDI, S
10601 GHOSH, A
13809 GHOSH, BMSK
3366 GHOSH, KK
10625 GHOSH, P
1388 GHOSH, S
13500 GHOSH, SK
11765 GHOSH, T
3683 GIACANI, EB
729 GIACCONI, R
15211 GIACOMETTI, M
15222 GIACOMMETTI, M
6571 GIAI, NV
226 GIALLONGO, E
1090 GIAMPIERI, G
6040 GIANI, E
11634 GIANNAKIS, O
12896 GIANNAKOPOULOUCREIGHTON, J
13618 GIANNINI, T
11021 GIANNUZZO, E
8120 GIANNUZZO, ME
5594 GIARD, M
6643 GIARRUSSO, S
3111 GIAVALISCO, M
14159 GIAVALISCO, MPCCSKLAMDM
10448 GIAVALISCO, MPMKCCSMDKLAM
5139 GIAZOTTO, A
14681 GIBBONS, GW
12816 GIBBONS, R
12928 GIBBONS, RA
15026 GIBBS, KG
5592 GIBILISCO, M
13725 GIBLIN, T
14225 GIBLIN, TW
8556 GIBSON, B
711 GIBSON, BK
13132 GIBSON, CH
12534 GIBSON, MEPBK
14419 GIBSON, SJ
9578 GIEBELS, B
14878 GIEREN, W
7260 GIEREN, WP
2743 GIERLINSKI, M
1626 GIERSZ, M
5348 GIESELER, UDJ
8661 GIGAN, P
330 GILBERT, AM
14579 GILES, AB
3459 GILFANOV, M
12425 GILFANOV, MR
2528 GIL, J
6794 GILLANDERS, GH
15646 GILL, CD
12995 GILLESPIE, AD
9191 GILLET, D
10135 GILLILAND, R
7957 GILLILAND, RL
12564 GILLI, R
9737 GILLY, J
13630 GILMERINO, R
148 GILMORE, G
2108 GILMORE, GF
3772 GILMOZZI, R
11200 GIMENEZ, A
10650 GIM, M
8540 GINESTET, N
11287 GIOIA, I
520 GIOIA, IM
2571 GIOMMI, P
15724 GIORDANO, S
14641 GIORGIO, AMD
2760 GIOVANARDI, C
14069 GIOVANARDI, S
826 GIOVANELLI, R
8688 GIOVANNELLI, F
1029 GIOVANNINI, G
319 GIOVANNINI, M
8368 GIOVANNINI, O
8944 GIRARDI, L
1701 GIRARDI, M
4525 GIRARD, L
5406 GIRARD, R
13401 GIRARD, T
4981 GIRARD, TA
4313 GIRARD, TM
6126 GIRASH, J
13710 GIRAUD, BG
3101 GIRAUDHERAUD, Y
14105 GIRIDHAR, S
4236 GIROLAMO, TD
5569 GIROUX, ML
12855 GISLER, G
6382 GISPERT, G
11678 GISPERT, JLPR
1705 GISPERT, R
4374 GIUDICE, GF
554 GIUNTI, C
737 GIURICIN, G
6257 GIUSEPPE, B
12563 GIVEON, U
14414 GIZANI, NAB
15475 GIZIS, J
5177 GIZIS, JE
7929 GIZON, L
4370 G, JFB
7728 G, KV
9255 GLADDERS, MD
4880 GLADMAN, B
11547 GLADSTONE, GR
11302 GLADWIN, PP
10156 GLAGOLEVSKIJ, YV
7066 GLASHOW, SL
5911 GLASMACHER, MAK
2796 GLASSGOLD, A
13829 GLASS, I
635 GLASS, IS
14233 GLASSMAN, TM
2709 GLAZEBROOK, JHK
516 GLAZEBROOK, K
861 GLEISER, M
2472 GLEISER, R
8612 GLEJBOL, K
16617 GLENDENNING, BE
3504 GLENDENNING, NK
5265 GLICENSTEIN, JF
9215 GLIEM, F
11178 GLIOZZI, M
9216 GLOECKLER, G
4885 GLORIA, KA
11289 GLUCK, M
13604 GNEDIN, N
3153 GNEDIN, NY
274 GNEDIN, OY
14217 GNEDIN, YN
6139 GNEIDING, CD
15402 GOAD, M
12123 GOAD, MR
12252 GODFREY, G
16083 GODFRIN, H
9465 GODLOWSKI, W
11958 GODON, P
12284 GOEDBLOED, JP
11049 GOELZ, M
12491 GOEMINNE, G
9925 GOENNER, HF
14349 GOERRES, J
6299 GOETZ, M
11789 GOGUS, E
9099 GOICOECHEA, LJ
15313 GOKHALE, M
10941 GOLAP, K
11550 GOLDADER, J
11404 GOLDADER, JD
16205 GOLDA, ZA
9003 GOLDBACH, C
10111 GOLDBERG, D
6825 GOLDBERG, DM
7268 GOLDBERG, E
16553 GOLDBERG, H
9297 GOLDEN, A
11328 GOLDEN, R
312 GOLDHABER, AS
1141 GOLDHABER, G
10597 GOLDHABER, M
5215 GOLDIN, AB
5266 GOLDMAN, B
2 GOLDMAN, I
10384 GOLDMAN, ID
1601 GOLDMAN, T
403 GOLDONI, P
11882 GOLD, R
5417 GOLDREICH, P
11959 GOLDREICH, YWP
9240 GOLDRING, G
1323 GOLDSCHMIDT, P
16034 GOLDSMITH, PF
7560 GOLDSTEIN, RE
16009 GOLDSTEN, J
16644 GOLDSTON, J
571 GOLDWIRTH, DS
3465 GOLDWURM, A
6404 GOLENETSKII, S
12587 GOLENETSKII, SV
13288 GOLEV, V
11913 GOLIATH, M
13081 GOLOMBEK, D
1858 GOLUBEV, N
5498 GOLUBEV, VV
6323 GOLUBKOV, YA
12972 GOLUB, L
8778 GOLWALA, S
14798 GOMBERT, G
9419 GOMERO, GI
11083 GOMER, R
7198 GOMEZ, A
9951 GOMEZ, AE
14837 GOMEZ, D
6357 GOMEZ, DO
8310 GOMEZ, FA
7831 GOMEZFLECHOSO, MA
11458 GOMEZ, G
3916 GOMEZGOMAR, J
4639 GOMEZGONZALEZ, J
12383 GOMEZ, J
13668 GOMEZ, JF
5221 GOMEZ, JL
13801 GOMEZ, JMMJL
7262 GOMEZ, M
4725 GOMEZ, P
7259 GOMEZ, PL
6347 GONCALVES, AC
5250 GONCALVES, DR
16473 GONCHAROV, YP
4184 GONDEK, D
11457 GONDEKROSINSKA, D
8702 GONDHALEKAR, PM
2479 GONDOLO, P
15337 GONNELLA, AM
4724 GONTHIER, PL
8274 GONZAGA, S
1447 GONZALEZ, A
5203 GONZALEZ, AH
13513 GONZALEZALFONSO, E
4873 GONZALEZCASADO, G
11542 GONZALEZ, D
974 GONZALEZDELGADO, RM
6618 GONZALEZDIAZ, PF
4707 GONZALEZ, G
8824 GONZALEZGARCIA, MC
13395 GONZALEZ, J
10844 GONZALEZ, JC
10152 GONZALEZ, JF
1718 GONZALEZ, JJ
7812 GONZALEZ, L
15338 GONZALEZLOPEZLIRA, RA
5577 GONZALEZ, MAM
1303 GONZALEZMESTRES, L
8959 GONZALEZ, R
2533 GONZALEZ, RA
4094 GONZALEZRIESTRA, R
308 GONZALEZRUIZ, A
3236 GONZALEZSERRANO, I
475 GONZALEZSERRANO, JI
14913 GONZALEZSERRANO, SFSJI
13352 GONZALO, JA
1139 GOOBAR, A
8857 GOODE, PL
6822 GOODMAN, AA
275 GOODMAN, J
13752 GOODMAN, JA
9714 GOODRICH, R
6003 GOODRICH, RW
15689 GOODWIN, S
4258 GOODWIN, SP
8007 GOPALSWAMY, N
5633 GOPINATH, KS
10144 GOPKA, VF
16272 GORANSKY, V
6785 GORDO, JB
14678 GORDON, C
5056 GORDON, KD
4014 GORENSTEIN, MV
6528 GORET, P
1336 GORGAS, J
6795 GORHAM, P
6448 GORHAM, PW
8241 GORIELY, S
9511 GORJIAN, V
14942 GORKAVYI, N
6826 GORKAVYI, NN
2693 GORKOM, JHV
14080 GORMAN, P
1340 GORNY, SK
7134 GOROSABEL, J
2932 GORSKI, K
389 GORSKI, KM
2801 GORTI, U
11783 GOSS, W
2227 GOSS, WM
7649 GOSWAMI, S
15624 GOTO, M
15358 GOTTBRATH, C
11093 GOTTESMAN, ST
7528 GOTTHELF, E
4362 GOTTHELF, EV
1486 GOTT, JR
6267 GOTTLIEB, CA
1711 GOTTLOBER, S
579 GOTTLOEBER, S
4448 GOUDA, MNN
432 GOUDA, N
11846 GOUDFROOIJ, DMP
916 GOUDFROOIJ, P
4511 GOUDIS, CD
11796 GOUGH, D
5673 GOUGH, DO
3566 GOUGH, RG
8992 GOUGUENHEIM, L
1331 GOUIFFES, C
9738 GOUILLAUD, JC
255 GOULD, A
14849 GOULD, AP
10059 GOULD, C
14914 GOU, LJ
12296 GOUPIL, M
7183 GOUPIL, MJ
857 GOURGOULHON, E
4980 GOUSSARD, J
8508 GOUSSARD, JO
12194 GOUVEA, AD
8180 GOVENDER, M
2049 GOVERNATO, F
8451 GOVERNATO, PTF
12434 GOVONI, F
3214 GOWER, AC
13568 GOYAL, A
13569 GOYAL, HC
16242 GOYMER, CA
16234 GOZZI, G
4257 GOZZOLI, E
16521 G, PA
8168 G, R
15903 GRAAF, HVD
9341 GRAAUW, TD
8665 GRABER, JS
10768 GRADY, CA
8201 GRADY, J
10250 GRADY, M
13859 GRAESSER, M
12290 GRAFF, D
1777 GRAFF, DS
5295 GRAF, UU
3335 GRAHAM, A
8940 GRAHAM, AW
8557 GRAHAM, J
6552 GRAHAM, JA
1453 GRAHAM, JR
8098 GRAHAM, MJ
5170 GRAINGE, K
668 GRAMANN, M
6368 GRANA, M
4193 GRANATH, M
2948 GRANATO, GL
584 GRANATO, L
12447 GRANATO, PAAFG
6484 GRANATO, PAAFGL
16546 GRANDCLEMENT, P
6221 GRANDI, P
1272 GRANDI, SD
9464 GRANDPIERRE, A
10431 GRANOT, J
15998 GRANT, C
12457 GRANT, CE
15996 GRANT, CS
11411 GRAPS, A
11534 GRASHIUS, R
3134 GRASSO, D
1742 GRATTON, R
3340 GRATTON, RG
12570 GRATTON, S
8352 GRAUER, AD
5953 GRAVEL, P
8127 GRAV, T
7500 GRAY, A
12013 GRAY, AD
13335 GRAY, J
16558 GRAY, JA
14591 GRAY, JP
8619 GRAY, MD
4946 GRAY, ME
190 GRAY, N
4331 GRAY, P
16040 GRAZIAN, A
770 GRAZIANI, C
5324 GREASON, MR
11000 GREAVES, JS
13023 GREBEL, E
1033 GREBEL, EK
12722 GREBENEV, SA
7670 GREC, G
11364 GREELEY, BW
13734 GREEN, A
8498 GREEN, AJ
3543 GREEN, AM
5340 GREENAWALT, B
4235 GREENAWALT, BE
13311 GREENBERG, JM
4716 GREEN, BTJRF
6563 GREENE, BR
11971 GREEN, EM
6561 GREENE, P
10871 GREENE, PB
11637 GREENE, TP
4856 GREENHILL, J
10939 GREENHILL, JG
4643 GREENHILL, LJ
15934 GREENHOUSE, M
15136 GREENHOUSE, MA
5912 GREEN, KD
15940 GREEN, P
2690 GREEN, PJ
5336 GREEN, R
1451 GREEN, RF
12672 GREEN, SF
5738 GREGERSEN, EM
2628 GREGG, ASJHVGMD
4748 GREGGIO, L
5773 GREGG, M
1616 GREGG, MD
8867 GREGG, MJDMD
8421 GREGO, L
14848 GREGORI, G
11104 GREGORINI, L
5727 GREGORIO, DED
7212 GREGORIOHETEM, J
9739 GREGORY, C
2487 GREGORY, R
7307 GREIFE, U
5193 GREINER, C
230 GREINER, J
8014 GREINER, M
13253 GREINER, W
10996 GREIVELDINGER, C
12582 GRENACHER, L
6181 GRENIER, I
6529 GRENIER, IA
9955 GRENIER, S
5901 GRENON, M
16072 GRETCHIKHA, AV
13800 GREVE, A
9813 GREWING, M
6303 GREYBER, HD
6247 GRIBBIN, J
6449 GRIEDER, PKF
12787 GRIESER, M
16684 GRIESMANN, U
211 GRIEST, K
12528 GRIFFIN, G
8081 GRIFFIN, GS
11190 GRIFFIN, MJ
11988 GRIFFITHS, LM
800 GRIFFITHS, R
2021 GRIFFITHS, RE
9875 GRIFFITHS, RG
1470 GRIFOLS, JA
9150 GRIGORIAN, H
12654 GRIGORIEV, D
5803 GRIJS, RD
3653 GRILLMAIR, C
398 GRILLMAIR, CJ
15039 GRILLMAIR, LLSCJ
15730 GRILLO, AF
12880 GRIMBERG, BI
4346 GRIMES, J
4560 GRIMES, JP
10084 GRIMSRUD, OM
12195 GRIMUS, W
15887 GRINBERG, V
259 GRINDER, M
946 GRINDLAY, J
3592 GRINDLAY, JE
11050 GRINGEL, W
1097 GRISHCHUK, LP
1218 GRISON, P
4267 GRIVELL, IJ
